WARE, RUTH - ONE BY ONE
MARTIN, ANDREW - THE SOMME STATIONS
PEARSE, LESLEY - GEORGIA
CONNELLY, MICHAEL - THE LAW OF INNOCENCE
CHRISTOPHER, PAUL   - THE TEMPLAR CROSS
PEARSE, LESLEY - SECRETS
CHRISTOPHER, PAUL - THE TEMPLAR THRONE
HARVEY, CLARE - THE NIGHT RAID
MORRIS, HEATHER - THE TATTOOISWT OF AUSCHWITZ
FOSSEN, DELORES - MORNINGS AT RIVER'S END RANCH
SILVA, DANIEL - THE ORDER
KELLERMAN, JONATHAN - A MEASURE OF DARKNESS
PATTERSON, JAMES & MARK SULLIVAN - PRIVATE BERLIN
WARE, RUTH - THE DEATH OF MRS. WESTAWAY
STEEL, D ANIELLE - DADDY'S GIRLS
SHALVIS,JILL - HEAD OVER HEELS
WARE, RUTH - THE WOMAN IN CABIN 10
CHRISTOPHER, PAUL - VALLEY OF THE TEMPLARS
ZETTEL, SARAH - THE OTHER SISTER
CHEFITZ, MITCHELL - THE  THIRTY-FOUR HOUR
WARE, RUTH - THE LYING GAME
SHEENE, LYNN - THE LAST TIME I SAW PARIS
KELLERMAN, JONATHAN - RAGE
PATTERSON, JAMES & SHAN SERAFIN - THREE WOMEN DISAPPEAR
CHRISTOPHER, PAUL  - THE LUCIFER GOSPEL
SILVA, DANIEL - THE ENGLISH SPY
SANDERS, LAWRENCE - McNALLY'S SECRET
JORDAN, ROBERT - THE SHADOW RISING
OWEN, DELIA - WHERE THE CRAWDADS SING
PATTERSON, JAMES - CROSS THE LINE
BROWN, DAN - INFERNO
STEEL, DANIELLE - DADDY
ROBB, J.D. - PORTRAIT IN DEATH
HONEYMAN, GAIL - ELEANOR OLIPHANT IS PERFECTLY FINE
ADDISON, CORBAN - THE TEARS OF DARK WATERS
HANIF, MOHAMMED - A CASE OF EXPLODING MANGOES
WARE, RUTH - IN A DARK, DARK WOOD
PATTERSON, JAMES & ASHWIN SANGHI - PRIVATE INDIA
PATTERSON, JAMES & TUCKER AXUM - CAJUN JUSTICE
LETTS, BILLIE - WHERE THE HEART IS
PATTERSON, JAMES - CROSS MY HEART
AUEL, JEAN M.   THE SHELTERS OF STONE
ADICHIE, CHIMA MANDA NGOZI - HALF OF A YELLOW SUN
HORAN, NANCY, UNDER THE WIDE, STARRY SKY
ABBOTT, MEG - YOU WILL KNOW ME
CHILD, LEE - MAKE ME
COOKSON, CATHERINE - THE GIRL FROM LEAM LANE
CHRISTOPHER, PAUL - REMBRANDT'S GHOST
MOFINA, RICK - HER LAST GOODBYE
FOLEY, LUCY - THE GUEST LIST
PATTERSON, JAMES - MURDER IN PARADISE
CHRISTOPHER, PAUL - THE TEMPLAR CONSPIRACY
KELLERMAN, JONATHAN - SELF-DEFENSE
KELLERMAN, FAYE - MOON MUSIC
PATTERSON, JAMES - THE PEOPLE VS ALEX CROSS
ZUSAK, MARKUS - THE BOOK THIEF
CHRISTOPHER, PAUL - THE SWORD OF THE TEMPLARS
KING, STEPHEN & PETER STRAUB - BLACK HOUSE
HOSSEINI, KHALED - A THOUSAND SPLENDID SUNS
PEARSE, LESLEY - YOU'LL NEVER SEE ME AGAIN
CHRISTOPHER, PAUL - THE TEMPLAR LEGION
KING, STEPHEN - THE DRAWING OF THE THREE
PATTERSON, JAMES & DAVID ELLIS - INVISIBLE
KINGSBURY, KAREN - TAKE FOUR
HOSSEINI, KHALED - THE KITE RUNNER
THOMAS, SAM - THE WIDWIFE'S TALE
KRENTZ, JAYNE ANN - FALLING AWAKE
