KRENTZ, JAYNE ANN - JOY
LEFFLER, MAGGIE - THE SECRETS OF FLIGHT
ROBERTS, NORA - LOVE B Y DESIGN
SPARKS, NICHOLAS - TRUE BELIEVER
PICOULT, JODI - LEAVING TIME
STEEL, DANIELLE - DADDY'S GIRLS
JACKSON, LISA - THE MORNING AFTER
KRENTZ, JAYNE ANN - DEEP WATERS
MICHAELS, FERN - THE NOSY NEIGHBOR
ADICHE, CHIMA MANDA NGOZI - HALF OF A YELLOW SUN
THOMAS, SAM - THE MIDWIFE'S TALE
HIGGINS, JACK - BAD COMPANY
COULTER, CATHERINE - THE DEVIL'S TRIANGLE
ROBERTS, NORA - WESTERN SKIES
STEEL, DANIELLE - HIGH STAKES
KRENTZ, JAYNE ANN - WHITE LIES
KRENTZ, JAYNE ANN - FALLING AWAY
BERRY, STEVE - THE AMBER ROOM
CARR, ROBYN - A FAMILY AFFAIR
MACOMBER, DEBBIE - TEXAS SKIES
HARRIS, CHARLAINE - DEAD UNTIL DARK
LUDLUM, ROBERT - THE SCARLATTI INHERITANCE
MIRANDA, MEGAN - THE GIRL FROM WIDOW HILLS
SCOTCH, ALLISON WINN  - THE REWIND
ROBERTS, NORA - WRITTEN IN THE STARS
MACKENZIE, SARAH - FRIENDS LIKE US
ROBERTS, NORA - FIRST SNOW
KRENTZ, JAYNE ANN - DAWN IN ECLIPSE BAY
WEINER, JENNIFER - GOOD IN BED
ROBERTS, NORA - THE AWAKENING
BARCLAY, LINWOOD - FEAR THE WORST
MICHAELS, FERN - SPIRIT OF THE SEASON
MORGAN, ANN - BESIDE MYSELF
KRENTZ, JAYNE ANN  - RUNNING HOT
BRADLEY, KATE  - TO KEEP YOIU SAFE
KRENTZ, JAYNE ANN - GRAND PASSION
KRENTZ, JAYNE ANN - EYE OF THE BEHOLDER
GREEN, JANE - FALLING
JACKSON, LISA - LOST SOULS
ROBB, J.D. - FORGOTTEN IN DEATH
KRENTZ, JAYNE ANN - TRUTH OR DARE
ROBERTS, NORA - THE CHOICE
AGRESTI, AIMEE - CAMPAIGN WIDOWS
THOR, BRAD - FOREIGN AGENT
ROBERTS, NORA - RAFE & JARED - THE McCADE BROTHERS
SPARKS, NICHOLAS - THE BEST OF ME
JACKSON, LISA - ONE LAST BREATH
KRENTZ, JAYNE ANN - IN TOO DEEP
ROBERTS, NORA - BECOMING
MEYERSON, AMY - THE BOOKSHOP OF YESTERDAYS
BALDACCI, DAVID - THE FIX
KRENTZ, JAYNE ANN - SMOKE IN MIRRORS
