ROBERTS, SHEILA - WINTER AT THE BEACH
ROBERTSON, IMOGEN - CIRCLE OF SHADOWS
ROBSON, JENNIFER - OUR DARKEST NIGHT
ROBSON, JENNIFER - SOMEWHERE IN FRANCE
ROBUCK, ERIKA - HEMINGWAY'S GIRL
ROBUCK, ERIKA - SISTERS OF NIGHT AND FOG
ROBUCK, ERIKA - THE HOUSE OF HAWTHORNE
ROCHA, LUIS MIGUEL - THE LAST POPE
ROCHA, LUIS MIQUEL - THE POPE'S ASSASSIN
RODALE, MAYA -A GROOM OF HER OWN
ROGER, MARIE-SABINE - SOFT IN THE HEAD
ROGERS, GEMMA -STALKER
ROGERS, ROSEMARY - SURRENDER TO LOVE
ROLLINS, JAMES - THE LAST ODYSSEY
ROLLINS, JAMES & GRANT BLACKWOOD - WAR HAWK
ROLLINS, JAMES & REBECCA CANTRELL - INNOCENT BLOOD
RONIN, ISABELLE - ALWAYS RED
ROSE, M.J. - THE HYPNOTIST
ROSENBERG, NANCY TAYLOR - THE CHEATER
ROSENFELDT, HANS - CRY WOLF
ROSS, JOANN - HERON'S LANDING
ROSS, JOANN - ONE SUMMER
ROSS, JOANN - SECOND CHANCE SPRING
ROSS, JOANN - SUMMER ON MIRROR LAKE
ROSS, JOANN - THE INHERITANCE
ROSSNER, JUDITH - HIS LITTLE WOMEN
ROSSO, NICO - COUNTDOWN TO ZERO HOUR
ROSSO, NICO - ONE MINUTE TO MIDNIGHT
ROTERT, REBECCA - LAST NIGHT AT THE BLUE ANGEL
ROUDA, KAIRA - THE FAVORITE DAUGHTER
ROWELL, RAINBOW - FANGIRL
ROWLING, J.K. - THE CASUAL VACANCY
RUBENHOLD, HALLIE - MISTRESS OF MY FATE
RUBY-SACHS, EMMA - THE WATER MAN'S DAUGHTER
RUCKA, GREG - THE LAST RUN
RUGGLE, KATE - IN SAFE HANDS
RUGGLE, KATIE - GONE TOO DEEP
RUGGLE, KATIE - HOLD YOUR BREATH
RUSHDAN, JUNO - UNTIL THE END
RUSHDAN, JUNO - EVERY LAST BREATH
RUSHDAN, JUNO - NOTHING TO FEAR
RUTHERFORD, EDWARD - THE FOREST
RUTHERFORD, EDWARD - NEW YORK
RUTHERFORD, EDWARD-THE PRINCESS OF IRELAND(THE DUBLIN SAGA)
RYAN, HANK PHILLIPPA - WHAT YOU SEE
RYAN, HANK PHILLIPPI - AIR TIME
RYAN, HANK PHILLIPPI - DRIVE TIME
RYAN, HANK PHILLIPPI - HER PERFECT LIFE
RYAN, HANK PHILLIPPI - THE FIRST TO LIE
RYAN, HANK PHILLIPPI - TRUST ME
RYAN, JENNIFER - THE SPIES OF SHELLING LANE
RYAN, KENDALL - FILTHY AND BEAUTIFUL LIES
RYAN, ROBERT - AFTER MIDNIGHT
RYAN, ROBERT - EMPIRE OF SAND
RYAN, ROBERT - THE DEAD CAN WAIT
SALEM, J.J. - THE STRIP
SALVATORE, R.A. - THE ANCIENT
SALVATORE, R.A. - THE HIGHWAYMAN
SANDERS, ANNIE - THE XMAS FACTOR
SANDERS, LAWRENCE - McNALLY'S SECRET
SANDERSON, BRANDON - FEARTRIS
SANDERSON, BRANDON - WARBREAKER
