BACH, LAUREN - PURE DYNAMITE
BAGSHAWE, TILLY - CHASING TOMORROW
BAKER, CHANDLER - THE HUSBANDS
BAKER, KEVIN - STRIVERS ROW
BALDACCI, DAVID - REDEMPTION
BALDACCI, DAVID - SPLIT SECOND
BALDACCI, DAVID - THE WHOLE TRUTH
BALDACCI, DAVID - WALK THE WIRE
BANKS, MAYA - NEVER SEDUCE A SCOT
BANNER, A.J. - THE TWILIGHT WIFE
BANTWAL, SHOBHAN - THE RELUCTANT MATCHMAKER
BARBER, KATHLEEN - TRUTH BE TOLD
BARNES, JULIAN - THE ONLY STORY
BARNES, MARGARET CAMPBELL - MARY OF CARISBROOKE
BARNHARDT, WILTON - LOOKAWAY, LOOKAWAY
BARRETT, KERRY - THE GIRL IN THE PICTURE
BARRETT, LORNA - BOOK CLUB
BARRETT, LORNA - SENTENCED TO DEATH
BARRY, SEBASTIAN - THE STREET SCRIPTURE
BARTLETT, LILLY - THE SECOND CHANCE CAFE IN CARLTON SQUARE
BARTON, FIONA - THE CHILD
BARTON, FIONA - THE SUSPECT
BARTON, FIONA - THE WIDOW
BAXTER, LILY - THE GIRLS IN BLUE
BAXTER, LILY - THE SPITFIRE GIRL
BEAH, ISHMAIL - RADIANCE OF TOMORROW
BEARD, JANET - ATOMIC CITY GIRLS
BEECHAM, CAROLINE - WHEN WE MEET AGAIN
BELL, DARCEY - A SIMPLE FAVOUR
BELL, DAVID - BRING HER HOME
BELL, DAVID - SINCE SHE WENT AWAY
BELL, KIMBERLY - A SCANDAL BY ANY OTHER NAME
BELLE, KIMBERLEY - STRANGER IN THE LAKE
BELLE, KIMBERLY - THREE DAYS MISSING
BERENSON, ALEX - THE MIDNIGHT HOUSE
BERENSON, ALEX - THE SECRET SOLDIER
BERENSON, ALEX - THE SHADOW PATROL
BETTS, CHARLOTTE - THE HOUSE IN QUILL COURT
BEZMOZGIS, DAVID - THE FREE WORLD
BILLINGSLEY, RESHONDA TATE - A GOOD MAN IS HARD TO FIND
BINCHY, MAEVE - SCARLET FEATHER
BINCHY, MAEVE - WHITEHORN WOODS
BIRMINGHAM, JOHN - ASCENDANCE
BISHOP, ANNE - WRITTEN IN RED
BISHOP, CAROLINE - THE OTHER DAUGHTER
BLACK, BENJAMIN - ELEGY FOR APRIL
BLACK, BENJAMIN - HOLY ORDERS
BLACK, SHAYLA - DEVOTED TO LOVE
BLACK, SHAYLA - MINE TO HOLD
BLACKWELL, JULIET - OFF THE WILD COAST OF BRITTANY
BLAEDEL, SARA - THE FORGOTTEN GIRLS
BLAKE, SARAH - THE POSTMISTRESS
BLANCHARD, ALICE - A BREATH AFTER DROWNING
BLISS, LAURALEE - RED ROCK WEDDINGS
BLOCK, S - A WOMAN'S COURAGE
BLOCK, S - A WOMAN'S WAR
BOBET, LEAH - AN INHERITANCE OF ASHES
BOHJOLIAN, CHRIS - THE FLIGHT ATTENDANT
BOLAND, SHALINI - THE PERFECT FAMILY
BOMBECK, ERMA - THE TIES THAT BIND AND GAG
BOSOMWORTH, JENNIFER - STUCK
BOX, C.J. - PARADISE VALLEY
