LOREN, RONI - THE ONE FOR YOU
LOWE, FIONA - RUNAWAY GROOM
LOWELL, ELIZABETH - ALWAYS TIME TO DIE
LOWELL, ELIZABETH - RUNNING SCARED
LUPTON, ROSAMUND - SISTER
LYNDS, GAYLE - THE COIL
MAAS, SHARON - THE SOLDIER GIRL
MACBRIDE, STUART - THE COFFIN MAKER'S GARDEN
MacBRIDE, STUART B. - HALFHEAD
MacDONALD, MALCOLM - THE RICH ARE WITH YOU ALWAYS
MacDONALD, PATRICIA - LOST INNOCENTS
MACKIN, JEANNE - THE LAST COLLECTION
MACKINTOSH, CLARE - I LET YOU GO
MACKINTOSH, CLARE - I SEE YOU
MACLEAN, ALISTAIR - BEAR ISLAND
MACMILLAN, GILLY - ODD CHILD OUT
MACMILLAN, GILLY - THE NANNY
MACMILLAN, GILLY - THE PERFECT GIRL
MacNISH, TRACY - VEILED PASSIONS
MACY, CAITLIN - MRS.
MAGUIRE, GREGORY - THE NEXT QUEEN OF HEAVEN
MAH, ANN - THE LOST VINTAGE
MAKSIK, ALEXANDER - A MARKER TO MEASURE DRIFT
MALLERY, SUSAN - ONLY YOURS
MALLERY, SUSAN - ALL SUMMER LONG
MALLERY, SUSAN - BEFORE WE KISS
MALLERY, SUSAN - CHASING PERFECT
MALLERY, SUSAN - COMPLETELY SMITTEN
MALLERY, SUSAN - JUST ONE KISS
MALLERY, SUSAN - ONLY MINE
MALLERY, SUSAN - SISTERS LIKE US
MALLERY, SUSAN - SUMMER DAYS
MALLERY, SUSAN - THE STEPSISTERS
MALLERY, SUSAN - THRILL ME
MALLERY, SUSAN - TWO OF A KIND
MALLERY, SUSAN - WHEN WE MET
MALLERY, SUSAN -THREE LITTLE WORDS
MALPAS, JODI ELLEN - ONE NIGHT DENIED
MALPAS, JODI ELLEN - THIS MAN CONFESSED
MANGUM, ERYNN - MISS MATCH
MANNING, KIRSTY - THE FRENCH GIFT
MANNING, SARRA - UNSTICKY
MANTEL, HILARY - BRING UP THE BODIES
MARGOLIN, PHILLIP - VIOLENT CRIMES
MARK, MARY - SOMETHING'S KNOT KOSHER
MARQUEZ, GABRIEL GARCIA - ONE HUNDRED YEARS OF SOLITUDE
MARSH, NICOLA - THE SCANDAL
MARSONS, ANGELA - SILENT SCREAM
